Yahoo Ticker,Name,Sector,Asset Class,Location,Ticker,Exchange,Currency
ATD.TO,ALIMENTATION COUCHE TARD INC,Consumer Staples,Equity,Canada,ATD,Toronto Stock Exchange,CAD
WMB,WILLIAMS INC,Energy,Equity,United States,WMB,New York Stock Exchange Inc.,USD
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,United States,BK,New York Stock Exchange Inc.,USD
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,United States,YUM,New York Stock Exchange Inc.,USD
AJG,ARTHUR J GALLAGHER,Financials,Equity,United States,AJG,New York Stock Exchange Inc.,USD
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,United States,WDAY,NASDAQ,USD
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,United States,PRU,New York Stock Exchange Inc.,USD
9432.T,NIPPON TELEGRAPH AND TELEPHONE COR,Communication,Equity,Japan,9432,Tokyo Stock Exchange,JPY
TDG,TRANSDIGM GROUP INC,Industrials,Equity,United States,TDG,New York Stock Exchange Inc.,USD
STLAM.MI,STELLANTIS NV,Consumer Discretionary,Equity,Italy,STLAM,Borsa Italiana,EUR
RIO.AX,RIO TINTO LTD,Materials,Equity,Australia,RIO,Asx - All Markets,AUD
WOW.AX,WOOLWORTHS GROUP LTD,Consumer Staples,Equity,Australia,WOW,Asx - All Markets,AUD
FERG,FERGUSON PLC,Industrials,Equity,United States,FERG,New York Stock Exchange Inc.,USD
OKE,ONEOK INC,Energy,Equity,United States,OKE,New York Stock Exchange Inc.,USD
RMD,RESMED INC,Health Care,Equity,United States,RMD,New York Stock Exchange Inc.,USD
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,United States,PEG,New York Stock Exchange Inc.,USD
KR,KROGER,Consumer Staples,Equity,United States,KR,New York Stock Exchange Inc.,USD
CSGP,COSTAR GROUP INC,Industrials,Equity,United States,CSGP,NASDAQ,USD
6981.T,MURATA MANUFACTURING LTD,Information Technology,Equity,Japan,6981,Tokyo Stock Exchange,JPY
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Equity,United States,SBAC,NASDAQ,USD
PPG,PPG INDUSTRIES INC,Materials,Equity,United States,PPG,New York Stock Exchange Inc.,USD
DFS,DISCOVER FINANCIAL SERVICES,Financials,Equity,United States,DFS,New York Stock Exchange Inc.,USD
FAST,FASTENAL,Industrials,Equity,United States,FAST,NASDAQ,USD
